RFP_ID,Company_Name,Link,Owner,Publish_Date,End_Date,Event_Type,Status,Participated,Description,Note
"Aramco_4203167241_CABLE, POWER, 5KV THROUGH 35 KV",Aramco,https://aramco-e-marketplace.supplier.mn2.ariba.com/ad/webjumper?itemID=JiX6AOPGl9OxOc&awcharset=UTF-8,"Alfaleh, Maha",1/21/2025 6:17 PM,01/26/2025 01:56 PM,RFP,,No,,
Aramco_4203198429_CABLE INSTRUMENTATION THERMOCOUPLE,Aramco,https://aramco-e-marketplace.supplier.mn2.ariba.com/ad/webjumper?itemID=JiX6AOPFUXEQZX&awcharset=UTF-8,"Abdulkarem, Turki",4/30/2024 4:08 PM,45778.770833333336,RFP,,Yes,,
Aramco_4203200367_ACCESSORY; LIGHTNING GROUNDING,Aramco,https://aramco-e-marketplace.supplier.mn2.ariba.com/ad/webjumper?itemID=JiX6AOPGaRhPaT&awcharset=UTF-8,"Bajandouh, Rana",12/9/2024 10:02 AM,12/29/2024 07:30 PM,RFP,,No,,
Aramco_4203199397_CABLE INSTRUMENTATION THERMOCOUPLE,Aramco,https://aramco-e-marketplace.supplier.mn2.ariba.com/ad/webjumper?itemID=JiX6AOPGeviF1V&awcharset=UTF-8,"Aldossary, Meaad",12/23/2024 3:48 PM,12/25/2024 07:30 PM,RFP,,No,,
"Aramco_4203194772_CABLE ELECTRICAL LOW VOLTAGE, ARMOURED,",Aramco,https://aramco-e-marketplace.supplier.mn2.ariba.com/ad/webjumper?itemID=JiX6AOPGcmQgYz&awcharset=UTF-8,"Buzaid, Yousef",12/16/2024 1:46 PM,12/22/2024 07:30 PM,RFP,,Yes,,
"Aramco_4203198519_CABLE ACSR, 40283 MM2 (795 MCM), 26",Aramco,https://aramco-e-marketplace.supplier.mn2.ariba.com/ad/webjumper?itemID=JiX6AOPGRQQzJZ&awcharset=UTF-8,,12/16/2024 10:31 AM,12/18/2024 07:30 PM,RFP,,Yes,,
"Aramco_4203161280_CABLE, POWER, 5KV THROUGH 35 KV",Aramco,https://aramco-e-marketplace.supplier.mn2.ariba.com/ad/webjumper?itemID=JiX6AOPGavvp1n&awcharset=UTF-8,"Alfaleh, Maha",12/12/2024 12:02 PM,45577.5625,RFP,,No,,
Aramco_4203197667_CABLE INSTRUMENTATION THERMOCOUPLE,Aramco,https://aramco-e-marketplace.supplier.mn2.ariba.com/ad/webjumper?itemID=JiX6AOPFJEHLdN&awcharset=UTF-8,"Bin Yameen, Saleh",7/22/2024 5:22 PM,45547.8125,RFP,,Yes,,
"Aramco_4203193713_CABLE, POWER, 5KV THROUGH 35 KV",Aramco,https://aramco-e-marketplace.supplier.mn2.ariba.com/ad/webjumper?itemID=JiX6AOPGY%2Bfy%2BE&awcharset=UTF-8,"Buzaid, Yousef",12/3/2024 12:18 PM,45334.8125,RFP,,No,,
Aramco_4203188955_CABLE; ELECTRICAL; LOW VOLTAGE; POWER OR,Aramco,https://aramco-e-marketplace.supplier.mn2.ariba.com/ad/webjumper?itemID=JiX6AOPGOy1cMS&awcharset=UTF-8,,11/10/2024 4:32 PM,11/14/2024 07:30 PM,RFP,,No,,
